TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
Corn And Peas Curry Recipe,2 Corn Cob cut into 1 inch piecesSalt to tasteWater as required2 teaspoons Cumin seeds Jeera1 teaspoon Coriander seeds5 Dry Red Chillies2 teaspoons Sunflower Oil6 cloves Garlic1 inch Ginger2 Onions sliced2 tablespoons Fresh coconut grated2 teaspoons Sunflower Oil1 teaspoon Mustard seeds2 sprig Curry leaves12 cup Homemade tomato pureeSalt to taste14 teaspoon Turmeric powder Haldi1 teaspoon Garam masala powder1 teaspoon Kashmiri Red Chilli Powder14 cup Green peas Matar,15,40,55,4,Indian,Main Course,Vegetarian,To begin making the Corn and Peas Curry Recipe we will first cook the corn on the cob Into a pressure cooker add the cut corn along with salt and water pressure cook for 2 whistles Turn off the heat and allow the pressure to release naturally Once done open the cooker drain off the excess water and keep the corn aside The next step is to make the gravy for the Corn and Peas CurryHeat a skillet on medium flame dry roast the cumin seeds coriander seeds and dry red chillies until fragrant this will take about 35 minutes Transfer the dry roasted whole spices into a mixer jar Next in the same pan add some oil and heat on medium flame to this add the garlic cloves ginger and onions Saute these for about 57 minutes until the onions turns soft and lightly brown Once donestir in the grated coconut and saute for a minuteMix well and turn off the heat Allow the mixture to cool and add it to the mixer jar that has the whole spices Grind everything into a smooth paste using some water and set aside Heat a kadai with oil on medium flame to this add mustard seeds and curry leaves and allow it to crackle Next add the tomato puree and bring it to a single boil Once it comes to a boil add the freshly ground spiceonion paste mixture and mix well to combine Now add the turmeric powder garam masala and kashmiri red chilli powder and mix well At this stage add the boiled corn into the gravy adjust the consistency of the Corn and Peas Curry by adding the required amount of water Add the peas cover and bring the Corn and Peas Curry to a brisk boil Check the salt and spices at this stage and adjust the taste accordingly Once done turn off the heat transfer the Corn and Peas Curry Recipe to a bowl and serve hot Serve Corn and Peas Curry Recipe along with Jeera Rice Recipe Lachedar Kakdi Pyaz Kachumber Recipe Onion Cucumber Salad and finish the meal with Paan Matka Kulfi Recipe as dessert,http://www.archanaskitchen.com/corn-and-peas-curry-recipe
Vegetarian Sloppy Joe Recipe,2 Burger buns1 Cucumber sliced4 tablespoon Del Monte Cheesy Garlic Mayo1 Onion finely chopped4 cloves Garlic chopped1 cup Masoor Dal Whole soaked for about 2 hours12 cup Homemade tomato puree2 tablespoon Sweet and Spicy Red Chilli Sauce Tomato Chilli Sauce1 teaspoon Sugar1 teaspoon Cumin powder JeeraSalt to taste,150,30,180,2,Continental,Dinner,High Protein Vegetarian,To begin making the Vegetarian Sloppy Joe Recipe soak the lentils for at least 2 hours and keep it readyPressure cook the lentil with 1 cup water and salt for about 3 whistle and allow it to release the pressure by itself Drain the water out and keep the masoor dal asideHeat a sauce pan with oil add onions and garlic and saut till the onions turn translucentAdd the tomato puree along with sugar chilli sauce sugar and cumin powderAllow it cook for 2 minutes add the cooked lentils and salt Keep stirring till the gravy becomes thick and turn off the heatTake the burger buns slit them into half and toast it with butter till golden brown and crispy on both sidesTo assemble the burger spread the lentil filling on top of the base place the sliced cucumber over it and drop a heap tablespoon of the Del Monte Cheesy Garlic Mayo cover the sloppy joe and serveServe the Vegetarian Sloppy Joe Recipe along with a glass of Homemade Fresh Orange Juice to make whole dinner with friends and family,https://www.archanaskitchen.com/vegetarian-sloppy-joe-recipe-kids-recipes-made-with-del-monte
Methi Muthiya Wheat Flour And Fenugreek Dumplings Recipe,2 cups Methi Leaves Fenugreek Leaves washed and roughly chopped112 cups Whole Wheat FlourSalt to taste12 teaspoon Turmeric powder Haldi1 teaspoon Red Chilli powder12 teaspoon Asafoetida hing1 teaspoon Cumin powder Jeera1 teaspoon Ajwain Carom seeds1 teaspoon Sesame seeds Til seeds2 teaspoon Sunflower Oil12 teaspoon Lemon juice12 teaspoon Sugar2 tablespoon Sunflower Oil2 teaspoon Fennel seeds Saunf1 teaspoon Mustard seeds1 teaspoon Cumin seeds JeeraSunflower Oil for deep frying,20,30,50,4,Indian,Snack,Vegetarian,To begin making the Methi Muthiyas firstly add all the ingredients under Muthiya dough in a mixing bowlAdd some water and mix till everything just comes together Do not knead the dough too muchPinch small lime sized balls from the dough Using the palm of your hands shape them into small elongated dumplingsFor Fried MuthiyasHeat oil in a deep fry pan and deep fry the dumplings on medium heat till they turn golden brown in colourDrain them on a kitchen towel to absorb the extra oil and serve them hotFor Steamed MuthiyasLightly oil a strainer or steaming bowl and steam the Dumplings for about 1215 minutes or till a knife inserted comes out cleanIn a flat nonstick pan heat the oil Add the mustards seeds and once they crackle add the cumin and fennel seedsAdd the steamed dumplings and fry till they turn a light golden colourServe Methi Muthiya with Dhaniya Pudina Chutney or Gujarati Kadhi,https://www.archanaskitchen.com/methi-muthiya-wheat-flour-and-fenugreek-dumplings-recipe
Hot and Spicy Chicken Curry Noodles Recipe,1 teaspoon Sunflower Oil saffola active3 Spring Onion Greens finely chopped4 cloves Garlic finely chopped2 inch Ginger thinly sliced2 teaspoon Sriracha sauce100 grams Tofu cut into small cubes250 grams Chicken breasts cut into small pieces40 grams Rolled Oats Or Instant Oats40 ml Coconut milk200 grams Egg noodles boiledRed Chilli powder to tasteSalt to taste,10,40,50,4,Chinese,Lunch,Non Vegeterian,To begin making the Hot and Spicy Chicken Curry Noodles recipe first boil the noodles and keep asideIn a heavy bottomed pan heat oil and fry the spring onion ginger and garlic until lightly brownedAdd the sriracha sauce salt and 1 cup of water and chicken Cover the pan and simmer for 10 minutes until the chicken is cooked throughReduce the heat add the tofu coconut milk oats and stir Add the chilli powder check the salt and adjust to suit your tasteGive the curry a brisk boil and turn off the heatServe Hot and Spicy Chicken Curry Noodles as an one pot meal for your weekend dinner with a glass of Pomegranate Mint Cocktail Recipe,http://www.archanaskitchen.com/hot-and-spicy-chicken-curry-noodles-recipe
Taiwanese Pineapple Cake Recipe Shortcrust Pastry Cake,112 cups All Purpose Flour Maida1 cup Whole Egg14 cup Butter chilled12 teaspoon Baking powder3 teaspoons Sugar14 cup Milk1 pinch Salt2 cups Pineapple finely chopped14 cup Jaggery,20,25,45,8,Asian,Dessert,Non Vegeterian,To begin making the Taiwanese Pineapple Cake Recipe we will first make the the short crust pastry In a bowl add Maida salt and butter Mix the butter well with your fingers into the flour until it resembles a coarse crumbleBreak an egg add sugar and milk into the flour and combine all of them together Add little water if required and form a soft doughWrap the pastry dough with a cling film and refrigerate pastry till you make the pineapple stuffingTo make the pineapple stuffingChop the pineapple into small pieces pressure cook the pineapple with 2 tablespoons water for at least 3 whistlesOnce done add pineapple chunks in blender and blend it to form smooth mixtureHeat a saucepan add pureed pineapple and jaggery and allow it to cook till the jaggery melts Keep stirring the mixture until the pineapple mixture thickensOnce done allow the mixture too cool completely and preheat the oven to 180 degree CelsiusTo assemble the Taiwanese Pineapple Cake RecipeTake the pastry out from the fridge divide them into small balls Flatten each ball littleAdd a small amount of pineapple mixture in the middle and bring the fold together to form a ball Make sure there are no openings Shape Taiwanese Pineapple Cake into a squarePlace Taiwanese Pineapple Cake on the baking tray do the same for the rest of the pastry dough Brush them with butter and little bit of honeyBake the Taiwanese Pineapple Cake Recipe for at least 20 minutes until it turns golden brown and serve warmServe the Taiwanese Pineapple Cake Recipe as dessert after a nice meal of Spring Roll Singapore Rice Noodles Recipe and Chilli Coriander Fried Rice Recipe,http://www.archanaskitchen.com/taiwanese-pineapple-cake-recipe-shortcrust-pastry-cake
Karnataka Style Orange Peels Curry Recipe,2 OrangeTamarind big lemon size3 tablespoon Jaggery adjustable1 teaspoon Rasam Powder1 teaspoon Red Chilli powder1 tablespoon Rice flourSalt to taste1 tablespoon Sunflower Oil1 teaspoon Mustard seeds12 teaspoon Cumin seeds Jeera14 teaspoon Methi Seeds Fenugreek Seeds1 teaspoon White Urad Dal Split1 Dry Red Chilli broken1 Green Chilli slitAsafoetida hing a pinch14 teaspoon Turmeric powder Haldi,15,15,30,4,Karnataka,Lunch,Vegetarian,To begin making the Karnataka Style Orange Peels Curry recipe Peel out 2 oranges Gently scrape the white region from the orange peel using a spoon Remove as much as possible as this will reduce the bitterness Chop the orange peels finelySoak tamarind in water After its soaked well squeeze out tamarind water and keep asideHeat oil in a heavy bottomed pan and temper with mustard seeds urad dal cumin seeds fenugreek seeds When it splutters add curry leaves red chilli powder green chilli hing and turmeric powder Mix and add chopped orange peel Fry for 45 minutesLater add tamarind water salt jaggery red chilli powder and rasam powder Add some water and close the lid Keep the flame on low medium and allow the peel to cook well Mix in betweenMeanwhile in a mixing bowl mix rice flour in water such that no lumps are formedWhen orange peels are cooked well add the rice flour mix to the curry and allow it to boil for 12 minutes Adding rice flour gives nice thickness to the gravy If the desired consistency is attained switch offServe Karnataka Style Orange Peels Curry along with Cabbage Thoran and Whole Wheat Lachha Paratha for your weekday meal It even tastes great with Steamed Rice,https://www.archanaskitchen.com/karnataka-style-orange-peels-curry-recipe
Garlic Tikki Recipe,7 Potatoes Aloo boiled12 cup Paneer Homemade Cottage Cheese grated10 Cashew nuts finely chopped1 Onion finely chopped10 cloves Garlic finely chopped2 Green Chillies finely chopped1 tablespoon Coriander Dhania Leaves finely chopped1 tablespoon Corn flour14 teaspoon Red Chilli powderSunflower Oil for fryingSalt to taste,20,30,50,4,North Indian Recipes,Appetizer,Vegetarian,To begin making Lehsuni Aloo Tikki Recipe wash and boil the potatoes in enough water Once cooked peel the skin and keep aside You can also pressure cook the potatoes for 2 whistles and allow the pressure to release naturally Peel the skin and keep aside To prepare the outer layer of the Lehsuni Aloo Tikki in a large bowl add in the boiled potatoes and mash them well Add cornflour season with salt and mix well Divide them into 12 equal portions and keep asideTo prepare the inner filling for the tikkis take a small bowl mix together grated paneer garlic onion green chillies coriander red chilli powder season with salt and keep asideTo prepare the Tikkis take a ball of the boiled potatoes and flatten it out in your palm Add a spoonful of the paneer filling into the potato mix seal it from all sides Form a firm ball flatten it out to tikki size between your palms and keep asideLikewise fill the rest of the potato mix with the paneer mix and make tikkis and place it in the plateRefrigerate the prepared plate full of tikkis for 10 minutesHeat a skillet pour a tablespoon of oil once hot enough shallow fry 4 tikkis at a time till it turns golden on the bottomSlowly flip the tikkis over and cook the other side till it becomes crisp and golden Take it out in a plate layered with the kitchen towel to drain the excess oil outSimilarly prepare the rest of the Lehsuni Aloo TikkisServe the Lehsuni Aloo Tikki Recipe along with Spicy Green Chutney and a cup of hot Ginger Tea as a tea time snack,https://www.archanaskitchen.com/lehsuni-tikki-recipe
Maharashtrian Style Kothimbir Oats Vadi Recipe,12 cup Gram flour besan12 cup Oats Flour12 cup Coriander Dhania Leaves1 teaspoon Salt1 teaspoon Red Chilli powderWater as required1 teaspoon Mustard seeds1 teaspoon Sesame seeds Til seeds1 sprig Curry leaves1 pinch Asafoetida hing,10,25,35,4,Maharashtrian Recipes,Appetizer,High Protein Vegetarian,We begin making the Maharashtrian Style Kothimbir Oats Vadi Recipe by mixing all the ingredients for the vadi with 14 cup water It has to be soft dough consistencyRest the dough for 5 minutes and roll it into a long sausage shaped doughHeat a dhokla steamer grease the dhokla pan with oil and then place the sausage dough and steam it for about 20 minutesTake out the vadi from the steamer and allow it to cool You can cut them into roundels and keep it asideHeat a kadai pan with oil crackle the mustard seeds sesame seeds and curry leaves and asafetida Once done add in your vadi and toss it over gentlyServe the Maharashtrian Style Kothimbir Oats Vadi Recipe along with Kala Vatana Amti Recipe Maharashtrian Black Chickpea Curry and Gujarati Methi Thepla Spiced Indian Flat Bread with Fenugreek Leaves to make it a meal,http://www.archanaskitchen.com/maharashtrian-style-kothimbir-oats-vadi-recipe
Pavakka Pachadi Recipe Bitter Gourd Pachadi,3 Karela Bitter Gourd Pavakkai1 Onion chopped1 cup Curd Dahi Yogurt or buttermilkpinch Turmeric powder Haldi to reduce bitter from bitter gourdSalt to taste14 cup Fresh coconut grated12 teaspoon Mustard seeds2 Green Chilli2 teaspoon Coconut Oil1 teaspoon Mustard seeds1 Dry Red ChilliCurry leaves few,10,15,25,4,Kerala Recipes,Side Dish,Vegetarian,To begin making the Pavakka Pachadi Recipe first wash the bitter gourd cut it lengthwise and remove all seeds Chop it to small piecesAdd 1 teaspoon of salt and a pinch of turmeric powder to bitter gourd slices and mix well Keep it aside for 30 to 40 minutes Bitter Gourd would have left some water Discard it Again sprinkle little water mix and squeeze the bitter gourd slices with your hand This helps to reduce the bitterness of bitter gourdHeat oil in a heay bottomed pan add chopped bitter gourd and saute Keep sauteing in low medium flame When the bitter gourd is 75 done add chopped onions and saute Meanwhile prepare the masala Grind coconut mustard green chillies and salt to a smooth water adding little water When the bittergourd and onions are done add the ground paste to the roasted veggies add curd or buttermilk Give a mix and allow it to gently boil on a low medium flame Switch off The next step is to prepare the tempering Heat oil in a tadka pan add mustard seeds when it splutters add red chillies curry leaves and pour it over the pachadiPavakka Pachadi is ready to be savoured Serve Pavakka Pachadi along with Keerai Sambar Steamed Rice and Raw Banana Thoran for a delicious everyday meal,https://www.archanaskitchen.com/pavakka-pachadi-recipe-bitter-gourd-pachadi
Kohlrabi Recipe Knol Khol Poriyal,3 cups Kohl rabi peeled and sliced1 Onion1 Tomato diced14 cup Green peas Matar2 Dry Red Chillies12 teaspoon Cumin seeds Jeera12 teaspoon Mustard seeds1 teaspoon Black Urad Dal SplitCurry leaves few14 teaspoon Turmeric powder Haldi12 teaspoon Red Chilli powder1 tablespoon Coriander Powder Dhania2 tablespoons Dessicated CoconutSalt for taste,10,15,25,3,Indian,Lunch,Vegetarian,To begin making the Kohlrabi recipe take kohlrabi and peel the outer fibrous part and cut into small squaresHeat oil in a heavy bottomed pan When heated add cumin seeds and mustard seeds When they splutter add a teaspoon of black urad dalSaute until the dal tuurns brown Now add in curry leaves dry red chillies and turmeric powder After 1 minute add sliced onions and fry till the onion becomes softAdd tomato slices and cook till they become little soft Add fresh peas followed by kohlrabi slices and mix everythingNow close the lid and cook for some more time mixing at regular intervalsAdd spices coriander powder red chilli powder and salt as per tasteAdd dry dessicated coconut mix everything and cook for few minutes by closing lidCook till kohlrabi slices become soft Turn off the heat and garnish with coriander leaves Serve Kohlrabi along with Dal Tadka and Steamed Rice for a weekday meal with your family,http://www.archanaskitchen.com/kohl-rabi-recipe-nol-khol-curry
Smoked Tandoori Paneer Tikka Recipe,300 grams Paneer Homemade Cottage Cheese cut into cubes1 cup Pickled onionsSunflower Oil for tossing2 Coal for coal smoking method1 cup Hung Curd Greek Yogurt3 tablespoons Gram flour besan6 Mint Leaves Pudina3 cloves Garlic1 inch Ginger1 teaspoon Fennel seeds Saunf roasted ground to powder12 teaspoon Ajwain Carom seeds2 Saffron strands12 teaspoon Cumin powder Jeera12 teaspoon Coriander Powder Dhania34 teaspoon Black pepper powder34 teaspoon Turmeric powder Haldi14 teaspoon Black Salt Kala NamakSalt to taste,10,45,55,4,Punjabi,Appetizer,Vegetarian,To begin making the Smoked Tandoori Paneer Tikka Recipe In a bowl combine yogurt and gram flour making a smooth paste Using a pestle and mortar pound the ginger garlic and mint leaves to make a coarse pasteAdd in the fennel seeds and ajwain and pound until blended Add this to the yogurt mixture Add in the remaining marinade ingredients into the yogurt mixture and stir to combine wellPlace the paneer cubes in a large bowl add in the marinade and allow it to rest covered for about half an hour to one hour or even overnight While the paneer marination is close to over we will now prepare for the coal smoking methodTake a piece or two of coal about 3 inches big and hold it over a gas flame with the help of tongs The coal will begin to turn red hot and also grey in about 5 minutesThis indicates that the coal can be used for smoking Place this hot coal inside a crack proof bowl At this point heat a large wok or a skillet with rim that can be covered on medium heatAdd a little oil and place a few pieces of marinated paneer along with a little of the marinadeIf you have a stove top grill or a skillet then arrange the paneer pieces and pour a little of the marinade over each of them Place the coal along with the bowl over the paneerAdd a spoon of ghee or oil on the coal It will begin to smoke Immediately cover the pan and reduce the heat to low and let it sit for about a minute until the smoke has gone away Open the lid and remove the coal cupYou dish will get a smoked flavored paneer that taste just like the Tandoori Paneer Tikkas Serve the Smoked Tandoori Paneer Tikka Recipe as a Party Appetizer with your meal of Dal Makhani Paneer Butter Masala Jeera Rice and Phulka,http://www.archanaskitchen.com/video-recipe-smoked-tandoori-paneer-tikka
Kerala Chicken Curry Recipe With Freshly Ground Spices,500 Chicken medium sized pieces1 Onion roughly chopped1 inch Ginger grated6 cloves Garlic finely chopped1 teaspoon Mustard seeds8 Curry leavesCoconut OilSalt as per taste12 cup Coconut milk or grated fresh coconut1 tablespoon Whole Black Peppercorns1 teaspoon Coriander Dhania Seeds1 inch Cinnamon Stick Dalchini1 teaspoon Fennel seeds Saunf2 Dry Red Chillies,10,45,55,4,Kerala Recipes,Lunch,Non Vegeterian,To prepare Kerala Chicken Curry With Freshly Ground Spices get prep with all the ingredients and marinate chicken with curd and salt for 2 hoursTo make the fresh masalaIn a shallow frying pan dry roast the peppercorns coriander seeds cinnamon stick fennel and dried red chiliesRoast for about 5 minutes on mediumlow flame Then turn off the flame allow it to cool and grind to a corase powder using a mixergrinder Heat oil in kadai add mustard seeds When it splutters add onion and curry leaves SautWhen onions are lightly brown add ginger garlic and saut for a minuteAdd chicken half of the ground masala and salt If using grated or desiccated coconut add inMix them cover with a lid simmer and cook till the chicken is almost done for about 1520 minutes at least Keep sauting occasionally to avoid charringIf using coconut milk add it now and simmer for five more minutes till well combined and cookedLastly add the reserved half of the ground masala and give it a nice stirKeep it covered for 510 minutes before serving to help the flavors combine well Serve the Kerala Chicken Curry With Freshly Ground Spices along with Kerala Style Appam Recipe Without Yeast or Ghee Rice Recipe Neychoru and a side of Meen Varuthathu Recipe Kerala Style Fish Fry for a complete meal,https://www.archanaskitchen.com/kerala-chicken-curry-recipe-with-freshly-ground-spices
Whole Masala Gobhi Recipe Spiced Whole Roasted Cauliflower Masala,1 Cauliflower gobi2 Onions diced2 Potatoes Aloo diced3 tablespoons Sunflower Oil1 cup Hung Curd Greek Yogurt2 teaspoon Red Chilli powder2 teaspoons Coriander Powder Dhania1 teaspoon Garam masala powder2 cloves Garlic grated1 inch Ginger gratedSalt to tasteCoriander Dhania Leaves a bunch,10,40,50,4,Indian,Side Dish,Diabetic Friendly,To begin making the Poori Masala Gobhi Recipe wash the cauliflower and remove the stem and leaves while keeping the cauliflower as a whole Boil the whole cauliflower in a large pot filled with water for 10 minutes until it is just about cooked through The color of the cauliflower to a greenish color Once done remove the cauliflower from the water and allow it to cool a bitPreheat the oven to 200 CIn a small bowl mix together yogurt a tablespoon of oil red chili powder coriander powder garam masala powder ginger garlic paste and saltOnce the cauliflower is cool rub the yogurt mixture all over the cauliflower potatoes and onionsBrush an oven proof skillet or roasting pan with oil The pan should be large enough to fit the cauliflower potatoes and onionsPlace the poori gobi cauliflower along with the along with onions and potatoes in the roasting panDrizzle with the remaining oil over the poori gobi masala Bake the poori gobi masala in a preheated oven for 20 25 minutes till the top is golden brown and the cauliflower is cooked through Since the cauliflower is already partially cooked this process will not take timeOnce you notice it is cooked remove the Poori Masala Gobi from the oven and serveOptionally sprinkle some chaat masala over the Poori Masala Gobhi Recipe and serve it as a side dish for dinner or for parties along with Lachha Parathas and Punjabi Dal Tadka and Paneer Butter Masala,https://www.archanaskitchen.com/poori-masala-gobhi-recipe-spiced-whole-roasted-cauliflower-masala
Kerala Chicken Roast Recipe,500 grams Chicken14 teaspoon Turmeric powder Haldi1 teaspoon Kashmiri Red Chilli Powder1 teaspoon Lemon juiceSalt to taste3 Onions thinly sliced1 tablespoon Ginger finely chopped1 tablespoon Garlic finely chopped212 teaspoons Coriander Powder Dhania112 teaspoons Kashmiri Red Chilli Powder1 teaspoon Garam masala powder12 teaspoon Fennel Powder3 Tomatoes thinly sliced2 sprig Curry leavesSalt to taste2 tablespoons Coconut Oil as required,10,80,90,4,Kerala Recipes,Lunch,High Protein Non Vegetarian,To begin making the Kerala Chicken Roast recipe wash and clean the chicken piecesIn a mixing bowl marinate the cleaned chicken along with turmeric powder kashmiri chili powder lemon juice and salt to taste and keep in the refrigerator for half an hour This will help the chicken get tenderShallow fry the marinated chicken pieces in a heavy bottomed pan on medium heat till it becomes golden brown on either side the chicken is just about cooked Remove the chicken pieces from the panTo the same pan heat oil on medium heat add the sliced onions with a pinch of salt Cook till onions turn golden brown Add the ginger and garlic and cook for a few seconds until the flavours start coming throughAdd coriander red chilli garam masala fennel powder and saute for a few seconds till masala is cooked throughAdd sliced tomatoes and curry leaves along salt and mix well When the tomatoes become soft add one or two spoons of water to get a nice paste like consistencyAt this stage add the fried chicken pieces and give a good stir till the masala coats the chicken wellThe Kerala Chicken Roast pieces should be succulent coated well with the masala Stir fry the chicken in the masala for about 4 to 5 minutes Check the salt and spices and adjust to suit your tasteOnce done turn off the heat and transfer the Kerala Chicken Roast to a serving bowlServe Kerala Chicken Roast along with Malabar Parotta Steamed Rice Pineapple Rasam and a Cabbage Thoran for a weeknight dinner or even a special weekend lunch,http://www.archanaskitchen.com/kerala-style-chicken-tomato-roast-recipe
Golpapdi Recipe Gur Papdi Sukhdi recipe Gujarati Gol Papdi,1 cup Whole Wheat Flour14 cup Ghee12 cup Jaggery powdered grated1 teaspoon Cardamom Powder Elaichi freshly ground1 teaspoon Dry ginger powder2 tablespoons Dessicated Coconut14 cup Badam Almond fine sliced,10,20,30,4,Gujarati Recipes﻿,Dessert,Vegetarian,To begin making the Golpapdi Recipe Gol Papdi Sukhdi melt the ghee in a frying pan and add the wheat flour and cardamom powder and ginger stirring constantly till it turns golden brown and releases the roasted aroma This process takes about 10 minutes on medium heat Ensure the heat is not on high as it will burn the wheat flour too quicklyOnce the wheat flour has turned a good brown color turn off the heat and quickly add the jaggery and stir well so the jaggery melts quickly in the heat into the wheat flourNote The addition of jaggery to the wheat flour mixture is a tricky procedure The whole mixture can get brittle and gooey So use caution and turn off heat just before adding jaggeryAs soon as the jaggery melts and the mixture is still warm pour the mixture into a greased baking sheet and spread it evenly with a 34th inch thicknessSprinkle the sliced almonds and coconut and cut into diamondsquare shapes while it is still warm Set the Golpapdi Gur Papdi Sukhdi aside and allow it to sit untouched you can also refrigerate it for it to set faster After about an hour once the it has cooled you will find that the crisp Golpapdi is readyStore the Golpapdi Gur Papdi Sukhdi in airtight containers for about 2 weeks in the refrigerator for maximum freshnessServe the Golpapdi Recipe Gur Papdi Sukhdi as a delicious Tea Time Snack or After School Snacks,http://www.archanaskitchen.com/golpapdi-recipe-a-traditional-gujarati-indian-sweet
Ukadpendi Recipe Maharashtrian Style Spiced Rice Flour Porridge,112 cups Water14 cup Buttermilk34 tablespoon Rice flour2 teaspoons Sunflower Oil23 Green Chillies chopped1 teaspoon Cumin seeds Jeera12 teaspoon Mustard seeds14 teaspoon Asafoetida hing1 sprig Curry leaves1 teaspoon SugarSalt to taste2 tablespoon Roasted Peanuts Moongphali crushed to garnish1 teaspoon Peanut oil to garnish,10,20,30,4,Maharashtrian Recipes,North Indian Breakfast,Vegetarian,To begin making Ukadpendi first whisk the buttermilk with the rice flour till there are no lumpsHeat oil in a wokpan and add the mustard seeds and cumin seedsand let them splutterOnce they splutter add the curry leaves green chillies and hing and carefully add the waterAdd salt and sugar and let the water boil Now add the rice flour slurry stirring constantly so that lumps are not formedCook on low flame stirring continuously till the mixture thickens and the rice flour is cooked Once done turn off the heat and transfer Ukadpendi into serving bowl You can top it with some peanut oil if you like before serving itServe a warm bowl of Ukadpendi for a hearty breakfast with some Lasun Ki Chutney,https://www.archanaskitchen.com/ukadpend-recipe-maharashtrian-style-spiced-rice-flour-porridge
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,1 cup Walnuts1 cup Dried Figs13 cup Flax seeds13 cup Honey12 cup Roasted Peanuts Moongphali1 teaspoon Cinnamon Powder Dalchini,5,20,25,4,Continental,World Breakfast,Vegetarian,To begin making the Walnut and Flax Seed Trail Mix Recipe With Figs Honey in a mixing bowl combine the walnuts figs flax seeds honey roasted peanuts and the cinnamon powder Preheat an oven to 190 degree celsius Transfer the Walnut and Flax Seed Trail Mix onto a baking tray and bake for 12 to 15 minutes until they are crispRemove the tray from the oven Allow the Walnut and Flax Seed Trail Mix to cool and transfer to an airtight jar and storeServe Walnut and Flax Seed Trail Mix Recipe With Figs Honey along with Watermelon Smoothie Recipe as an after school snack for your kids,https://www.archanaskitchen.com/walnut-and-flax-seed-trail-mix-recipe-with-figs-and-honey
Palak Pulao Recipe Palak Pulao Recipe,2 200 1 1 1 12 1 1 2,10,40,50,4,Indian,Lunch,Vegetarian,2 3 3 4 2,http://www.archanaskitchen.com/spinach-rice-recipe-palak-pulao-in-hindi
Carrot and Oats Whole Wheat Bread Recipe,1 cup Carrots Gajjar grated12 cup Sooji Semolina Rava12 cup Instant Oats Oatmeal1 cup Whole Wheat Flour2 teaspoons Baking powder34 cup Milk2 tablespoons Honey2 Whole Eggs slightly beaten2 tablespoons Sunflower Oil,15,50,65,4,Continental,World Breakfast,Eggetarian,We begin making the Carrot and Oats Bread Recipe by heating the oven at 180 degree Celsius to 20 minutes Grease a rectangular loaf tin with parchment paper and keep it readyMix all the dry ingredients in a small bowl first and keep it readyIn another bowl whisk egg oil and honey using a blender till it is fluffy Then add the grated carrot and whist once moreAdd the dry ingredients slowly and using a palate knife fold in the ingredients Finally add the milk and mix wellServe the Carrot and Oats Bread Whole wheat Recipe along with a smoothie or just drizzle some honey and can be relished for your morning breakfast,https://www.archanaskitchen.com/carrot-and-oats-whole-wheat-bread-recipe
Chicken And Shrimp Bnh Xo Recipe Vietnamese Stuffed Crepe,1 cup Rice flour12 teaspoon Sugar12 teaspoon Salt12 teaspoon Turmeric powder Haldi1 cup Coconut milkChilled water as required150 gram Shrimps peeled and deveinedSalt to taste12 teaspoon Black pepper powder freshly ground1 teaspoon Lemon juice1 teaspoon Extra Virgin Olive Oil300 gram Chicken breasts cut into the pieces2 teaspoons Ginger Garlic Paste12 teaspoon Turmeric powder Haldi1 teaspoon Red Chilli powder1 teaspoon Cumin powder Jeera1 teaspoon Garam masala powder23 tablespoons Sunflower Oil3 tablespoons Roasted tomato pasta sauceSalt to taste12 teaspoon Sugar1 cup Coriander Dhania Leaves chopped1 Green Bell Pepper Capsicum julienned1 Carrots Gajjar julienned1 Cucumber julienned1 Onion julienned1 tablespoon Lemon juice1 tablespoon Extra Virgin Olive OilSalt to taste,10,55,65,4,Vietnamese,Main Course,Non Vegeterian,To prepare Chicken And Shrimp Bnh Xo Recipe take a large mixing bowl and mix together the rice flour sugar salt and turmeric powder Beat in the coconut milk to make a thick batter Then slowly beat in enough water to make a crepe batter Set the batter aside to restHeat olive oil in a Shallowfry pan over a medium heat add shrimp and cook for about 1 minute add black pepper and saltTurn the shrimps over and cook until opaque throughout about 1 minute Add lime juice and transfer onto a plateHeat oil in a wok Add gingergarlic paste and saute for half a minute Add chicken pieces turmeric powder cumin powder chilli powder and again fry for a minuteAdd tomato sauce salt and sugar mix well and cover the lid to cook the chicken in lower flameWhen chicken cooked till soft and tender now sprinkle garam masala powder on it and switch off the flameMaking CrepesHeat a Crepe pan to medium flame add a small amount of oil stir the crepe batter well and pour 12 cup batter into the saute panSwirl the pan to coat the bottom Lay 3 or 4 of the lime shrimp and roasted chicken over onehalf of the crepe and then sprinkle a small handful of veggies over the fillingWhen the middle of the crepe looks cooked through and the edges of the crepe begin to brown fold the crepe over to cover the filling and slide the Vietnamese Crepe onto a plateTo serve the Chicken And Shrimp Bnh Xo Recipe Vietnamese Stuffed Crepe arrange the fresh Charred Corn and Radish Salad Recipe on a platter with Nuoc Cham Chay Dipping Sauce Recipe for a weeknight dinner,https://www.archanaskitchen.com/chicken-and-shrimp-banh-xeo-recipe-vietnamese-stuffed-crepe
